campus;curso;disciplina;horario;semestre
01;13;14;24m12;2024_2
02;14;14;35t23;2023_1
02;14;14;35t23;2024_1
01;15;14;24m56;2022_2
01;15;14;24m56;2024_1
01;15;14;24m56;2024_2
01;15;14;46n45;2023_1
03;16;14;24m23;2024_2
01;20;14;24m34;2022_2
01;20;14;24m34;2023_1
01;20;14;24m34;2024_1
01;20;14;24m34;2024_2
02;23;14;24t56;2023_1
02;23;14;24t56;2024_1
02;24;14;24m23;2024_2
02;26;14;24t34;2023_1
02;26;14;24t34;2024_1
02;26;14;35n45;2022_2
02;26;14;35n45;2024_2
02;34;14;24m23;2022_2
02;09;15;46m45;2023_1
02;09;15;46m45;2024_1
02;09;15;46n45;2023_1
02;09;15;46n45;2024_1
02;11;15;46m45;2023_1
02;11;15;46m45;2024_1
02;34;15;35m23;2022_2
02;34;15;35m23;2023_1
02;34;15;35m23;2024_1
02;34;15;35m23;2024_2
02;29;16;246m23;2022_2
02;29;16;246m23;2024_2
02;29;16;35t23;2022_2
01;33;16;35n34;2024_1
01;33;16;35t56;2023_1
01;33;17;24n23;2022_2
01;33;17;24n23;2024_2
02;01;18;46n23;2022_2
02;01;18;46n23;2023_1
02;01;18;46n23;2024_1
02;01;18;46n23;2024_2
02;29;19;246m23;2023_1
02;29;19;246m23;2024_1
02;01;20;46n45;2022_2
02;01;20;46n45;2023_1
02;01;20;46n45;2024_1
02;01;20;46n45;2024_2
02;06;21;25t45;2024_2
02;06;21;35m45;2024_1
02;06;21;46m23;2022_2
02;06;21;46m23;2023_1
02;06;21;46m23;2024_1
01;13;21;46t34;2024_1
01;13;21;46t34;2024_2
01;13;21;46t56;2022_2
01;13;21;46t56;2023_1
02;14;21;46m45;2023_1
02;14;21;46m45;2024_1
03;16;21;24m23;2024_2
03;16;21;24t23;2022_2
03;16;21;24t23;2023_1
02;16;21;35m23;2024_1
03;17;21;24m45;2023_1
03;17;21;24m45;2024_1
03;19;21;24m23;2023_1
03;19;21;24m23;2024_1
01;20;21;35m12;2022_2
01;20;21;35m12;2023_1
01;20;21;35m12;2024_1
01;20;21;35m12;2024_2
02;23;21;24t34;2023_1
02;23;21;35t12;2024_1
02;24;21;35m23;2024_1
02;26;21;24t12;2023_1
02;26;21;35n45;2023_1
02;26;21;35n45;2024_1
02;26;21;35t34;2024_1
03;17;22;24m23;2024_2
03;17;22;24t45;2022_2
